searched_zipcode,searched_category,searched_lat,searched_lng,Restaurant_Name,restaurant_id,loc_number,City,Address,Postcode,Latitude,Longitude,cuisines,offers,delivery_fee_raw,delivery_fee,delivery_time_raw,delivery_time,service_fee_raw,service_fee,distance,review_count,review_rating,RunDate,
EC1A 7EB,London_Center,51.51808898,-0.09922265,BrewDog Burger - Chancery Lane,1626,153438,London,"FirstLineBrewDog - Chancery Lane, 1 Plough Place",EC4A 1DE,51.516741,,BurgersVeganLow Delivery Fee,,,0.99,25-40,32.5,,0,0.4,6,4.78,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Brothers Cafe.,1627,171140,London,FirstLine99 Leather Lane,EC1N 7TS,51.52187,,TurkishLebanese,,,2.49,25-40,32.5,,0,0.5,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Bento Bab,1628,113925,London,FirstLine13 Bowling Green Lane,EC1R 0BD,51.524312,,KoreanChickenLow Delivery Fee,,,0.99,30-45,37.5,,0,0.6,17,5.24,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Krispy Kreme - One New Change,1629,168343,London,"FirstLineKrispy Kreme, Unit SU02, One New Change",EC4M 9AF,51.513924,,DessertsAmericanLow Delivery Fee,,,0.99,15-30,22.5,,0,0.3,1,6,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Yucatan LDN @ The Lexington,1630,170620,London,FirstLine96-98 Pentonville Road,N1 9JB,51.531884,,MexicanBurritos,,,2.49,25-40,32.5,,0,1.1,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Mediterranean Food Bar,1631,156222,London,FirstLine21 Leather Lane,EC1N 7TE,51.519842,,MediterraneanLunch,,,2.49,15-30,22.5,,10,0.5,45,5.93,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Pop Skewer,1632,171639,London,FirstLineArea 2 25 Cable Street,E1 8NT,51.511098,,Brazilian foodKebab,,,2.49,25-40,32.5,,0,1.5,0,0,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Black Sheep Coffee - Wood Street,1633,133454,London,FirstLine125 Wood Street,EC2V 7AN,51.514774,,CoffeeBreakfastLow Delivery Fee,,,0.99,20-35,27.5,,0,0.3,2,6,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Mu Mu Street Food,1634,136930,London,FirstLine19 City Road,EC1Y 1AG,51.522785,,JapaneseThai,,,2.49,20-35,27.5,,0,0.6,6,4.33,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Bisou Cafe Diner,1635,119325,London,FirstLine149 King's Cross Road,WC1X 9BN,51.52999,,BreakfastCaf\u00e9Collect stamps,,,2.49,25-40,32.5,,0,1.1,16,4.92,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Mama's Cafe,1636,120341,London,FirstLine225 Waterloo Road,SE1 8XH,51.499867,,BreakfastBrunch,,,2.49,25-40,32.5,,0,1.3,7,4.86,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,The Sandwich Shop,1637,159423,London,"FirstLineUnit 5 The Circle, Queen Elizabeth Street",SE1 2JE,51.501492,,Panini'sSandwichesHalalCollect stamps,10% off when you spend £15,,2.49,20-35,27.5,,0,1.6,3,5,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,FlipSide Bistro,1638,151185,London,FirstLine88-89 Cowcross Street,EC1M 6BP,51.519995,,BurritosBurgers,,,2.49,25-40,32.5,,0,0.2,17,5.96,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Abokado - Sushi & Katsu (Cowcross Street),1639,149119,London,FirstLine63 Cowcross Street,EC1M 6BP,51.520006,,SushiJapaneseLow Delivery Fee,,,0.99,20-35,27.5,,0,0.2,41,5.81,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Shrigleys,1640,104130,London,FirstLine125 Borough High Street,SE1 1NP,51.503659,,MoroccanHealthyLow Delivery Fee,,,0.99,25-40,32.5,,0,1.1,15,5.18,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Garbanzos,1641,135945,London,FirstLineFleet Street,EC4Y 1JU,51.514204,,LebaneseChickenLow Delivery Fee,,,0.99,25-40,32.5,,0,0.5,5,5.8,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Flip Side,1642,151126,London,FirstLine88-89 Cowcross Street,EC1M 6BP,51.519995,,VeganBurgers,,,2.49,25-40,32.5,,0,0.2,1,6,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Cojean - Ludgate Hill,1643,160220,London,FirstLine50 Ludgate Hill,EC4M 7AW,51.514161,,EuropeanHealthyLow Delivery Fee,,,0.99,20-35,27.5,,0,0.3,6,5.89,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Yum Bowl,1644,125246,London,FirstLine154 Whitecross Street,EC1Y 8JL,51.52447397,,VietnameseNoodles,,,2.49,15-30,22.5,,0,0.5,4,3.83,4/25/2022 1:01,
